iter	MultiClass
0	3.52892347
1	3.437754243
2	3.353707134
3	3.266488227
4	3.172631988
5	3.072705387
6	2.990427374
7	2.916415197
8	2.883263151
9	2.742252896
10	2.628593047
11	2.564090469
12	2.491627523
13	2.414371172
14	2.350969681
15	2.283240239
16	2.220577173
17	2.159642122
18	2.107897679
19	2.012471227
20	1.96686265
21	1.923909873
22	1.901375912
23	1.860606227
24	1.839644768
25	1.808140145
26	1.775442739
27	1.754599291
28	1.711342115
29	1.681367246
30	1.593069443
31	1.575655144
32	1.545047454
33	1.526917359
34	1.503330162
35	1.479099015
36	1.459489905
37	1.414447347
38	1.34464962
39	1.332419464
40	1.273974551
41	1.257807063
42	1.244688477
43	1.231398385
44	1.219301286
45	1.159717534
46	1.149522227
47	1.106219592
48	1.094819038
49	1.085145651
