iter	Passed	Remaining
0	9	457
1	21	515
2	31	500
3	53	614
4	110	991
5	131	964
6	163	1001
7	177	933
8	190	868
9	202	808
10	213	755
11	225	715
12	235	669
13	243	625
14	252	589
15	261	554
16	268	521
17	276	491
18	286	467
19	296	445
20	306	422
21	313	398
22	321	376
23	328	356
24	335	335
25	342	315
26	349	297
27	356	280
28	364	263
29	371	247
30	378	231
31	386	217
32	393	202
33	400	188
34	408	174
35	415	161
36	422	148
37	429	135
38	437	123
39	445	111
40	453	99
41	460	87
42	468	76
43	475	64
44	483	53
45	493	42
46	502	32
47	509	21
48	515	10
49	523	0
